YEAR,MONTH,MAX TEMP (deg F),AVG TEMP,MIN TEMP,DEW POINT (deg F),PRECIPITATION (in),# RAINY DAYS ,WIND (mph),HUMIDITY (%),Number of Cases
2010,January,84.19,77.32,70.94,69.86,41.7,3,5.49,78.9,13
2010,February,86.82,79.36,71.86,70.66,0,0,5.72,76.3,6
2010,March,93.26,84.19,75.87,74.09,1.3,0,7.06,73.9,3
2010,April,95.36,88.28,79.64,78.24,1.1,0,9.71,73,3
2010,May,98.19,88.97,81.74,78.08,100.2,2,9.56,71.8,6
2010,June,94.8,86.76,80.37,76.58,72.7,2,8.65,73.1,3
2010,July,91.35,84.75,78.55,75.06,232.4,10,7.68,74.3,21
2010,August,91.13,84.33,78.71,76.28,649.8,19,6.84,78,15
2010,September,90.2,84.09,78,76.51,411.7,11,6.38,79,31
2010,October,90.06,83.47,77.68,76.66,581.84,20,5.87,81.2,22
2010,November,85.83,79.96,74.93,76.05,988.57,17,5.28,88.7,23
2010,December,82.26,76.62,71.74,72.46,437.9,13,5.16,88,19
2011,January,84.13,76.86,69.52,69.68,41.2,2,5.98,79.9,15
2011,February,86.29,78.3,70.07,70.34,79.15,2,6.13,78.4,14
2011,March,90.84,81.96,72.9,72.63,1.79,0,6.44,76.3,4
2011,April,92.53,85.26,78.47,77.39,95.02,5,7.63,78.5,3
2011,May,100.65,89.32,81.58,77.06,20.6,2,9.58,69.4,3
2011,June,99.03,89.74,82.03,72,97.88,6,10.09,57.6,4
2011,July,94.29,86.54,79.94,73.11,331.46,9,8.87,65.8,23
2011,August,92.52,85.23,78.48,74.6,329.97,14,8,71.8,28
2011,September,93.03,84.95,78.2,75,312.5,13,7.6,73.6,30
2011,October,89.48,82.69,76.81,75.93,428.5,18,4.43,81.4,20
2011,November,85.77,79.14,73.6,72.7,725.4,14,4.94,82.3,26
2011,December,84.1,77.38,71.29,69.75,231.4,5,5.47,78.5,21
2012,January,84.81,76.88,69.97,68.38,12.56,0,5.07,76.6,25
2012,February,88.03,78.97,70.79,68.75,0.1,0,4.69,73.1,9
2012,March,93.26,84.26,76.48,73.55,9.2,0,7.13,72.4,7
2012,April,96.13,87.1,77.8,75.78,90.8,6,7.97,70.4,0
2012,May,102.77,91.62,84.23,74.04,20.6,1,9.35,58.9,8
2012,June,100.93,90.54,83.2,70.25,49.16,2,10.45,53.9,6
